id,tiploc,name
461,AYRR859,Ayr Sig 859
462,AYRRABP,Ayr Harbour A.B.P.
463,AYRRCSD,Ayr C.S.D.
464,AYRRFHH,Ayr Harbour FHH
465,AYRRHBR,Ayr Harbour
466,AYRRSTE,Ayr S.& T.E.
467,AYRRTMD,Ayr Depot
468,AYRRWRD,Ayr W.R.D.
469,AYSHMS,Aylsham South
470,BABWTHL,Babworth Loop
471,BACHE,Bache
472,BADMTN,Badminton
473,BAGE,Burnage
474,BAGLYFJ,Baguley Fold Jn
475,BAGSHOT,Bagshot
476,BAGWDES,Desford
477,BAGWJRS,Bagworth Jn Refuge Sdgs
478,BAGWKM,Kirby Muxloe
479,BAGWTHJ,Bagworth Jcn
480,BAILDON,Baildon
481,BAISIEU,Baisieux (Sncf/Sncb Brdr)
482,BAKECH,Chatsworth House
483,BAKEWEL,Bakewell Square
484,BALCMTJ,Balcombe Tunnel Jn
485,BALCOMB,Balcombe
486,BALDOCK,Baldock
487,BALHAM,Balham
488,BALHJN,Balham Jn
489,BALISTN,Baillieston
490,BALLOCH,Balloch
491,BALMOSS,Balmossie
492,BALSHWL,Balshaw Lane
493,BAMFORD,Bamford
494,BANAVIE,Banavie
495,BANG37,Bangor Sig. BR37
496,BANGOR,Bangor (Gwynedd)
497,BANGRCS,Bangor C. S.
498,BANGRTC,Bangor Tunnel Cement
499,BANSBUS,Banstead (Firtree Road)
500,BANSTED,Banstead
501,BARACE,Barassie C.E.
502,BARADPL,Barassie Jn DPL
503,BARAFHH,Barrassie FHH
504,BARASCP,Shewalton Coup C.E.
505,BARASIE,Barassie
506,BARASIJ,Barassie Jn
507,BARAUGL,Barassie Jn UGL
508,BARCEMR,Barcelona El Morrot
509,BARDFHH,Bardon Hill Quarry FHH
510,BARDGBR,Bardon Hill GBRF
511,BARDHBR,Bardon Hill B.R. Sdgs
512,BARDHGF,Bardon Hill Ground Frame
513,BARDNHQ,Bardon Hill Quarry
514,BARDONH,Bardon Hill
515,BARELA,Bare Lane
516,BARELAJ,Bare Lane Junction
517,BARGOED,Bargoed
518,BARGSDG,Bargoed Viaduct Sidings
519,BARH379,Barham Ground Sig C01379
520,BARHAM,Barham
521,BARHFHH,Barham FHH
522,BARK103,Barking Signal 1103
523,BARK104,Barking Signal 1104
524,BARKADV,Barking Advenza Freight
525,BARKG1P,Barking No 1 Platform
526,BARKG21,Barking Signal BK 21
527,BARKG7P,Barking No7 Platform
528,BARKGLT,Barking LT
529,BARKING,Barking
530,BARKNGJ,Barking Station Junction
