line_code,source,target,distance_miles
LN632,7628,7626,0.0
LN632,7626,7627,0.0
LN632,7627,5717,0.0
LN632,5717,6394,0.0
LN632,6394,7990,0.0
LN632,7990,7989,0.0
LN632,7989,11930,0.0
LN632,11930,12118,0.0
LN634,4044,10718,0.0
LN634,10718,5941,0.0
LN634,5941,4054,0.0
LN634,4054,6754,0.0
LN634,6754,11054,0.0
LN634,11054,3994,0.0
LN634,3994,1431,0.0
LN634,1431,5138,0.0
LN634,5138,2107,0.0
LN634,2107,2451,0.0
LN634,2451,2526,0.0
LN634,2526,5401,0.0
LN634,5401,3697,0.0
LN634,3697,3097,0.0
LN634,3097,3937,0.0
LN634,3937,8385,0.0
LN634,8385,7923,0.0
LN634,7923,10423,0.0
LN634,10423,3938,0.0
LN636,626,5268,0.0
LN638,3963,10165,0.0
LN638,10165,10901,0.0
LN638,10901,10163,0.0
LN640,10165,10161,0.0
LN640,10161,10164,0.0
LN642,7990,2296,0.0
LN642,2296,8352,0.0
LN642,8352,1031,0.0
LN642,1031,1032,0.0
LN644,4636,1052,0.0
LN646,6657,6658,0.0
LN646,6658,3624,0.0
LN646,3624,12215,0.0
LN646,12215,12216,0.0
LN648,6658,6656,0.0
LN652,845,4746,0.0
LN652,4746,4749,0.0
LN652,4749,11055,0.0
LN652,11055,7376,0.0
LN652,7376,10780,0.0
LN652,10780,7373,0.0
LN652,7373,11056,0.0
LN652,11056,11057,0.0
LN652,11057,8095,0.0
LN652,8095,8094,0.0
LN656,8135,11058,0.0
LN662,7943,4430,0.0
LN662,4430,8058,0.0
LN664,1336,1337,0.0
LN666,1338,1337,0.0
LN666,1337,3800,0.0
LN666,3800,4974,0.0
LN670,7069,4978,0.0
LN674,4347,3934,0.0
LN676,7156,3934,0.0
LN676,3934,5012,0.0
LN676,5012,5014,0.0
LN678,2680,6749,0.0
LN678,6749,10699,0.0
LN678,10699,4302,0.0
LN678,4302,6820,0.0
LN678,6820,8203,0.0
LN678,8203,1346,0.0
LN678,1346,1348,0.0
LN678,1348,1347,0.0
LN678,1347,11059,0.0
LN682,5014,6694,0.0
LN682,6694,2719,0.0
LN682,2719,4019,0.0
LN682,4019,9034,0.0
LN682,9034,795,0.0
LN682,795,10473,0.0
LN682,10473,7385,0.0
LN682,7385,8645,0.0
LN682,8645,7703,0.0
LN682,7703,2209,0.0
LN682,2209,4283,0.0
LN682,4283,4764,0.0
LN682,4764,1093,0.0
LN682,1093,4381,0.0
LN682,4381,5740,0.0
LN682,5740,1214,0.0
LN682,1214,1215,0.0
LN682,1215,9889,0.0
LN682,9889,9890,0.0
LN682,9890,11060,0.0
LN682,11060,7125,0.0
LN684,5733,5735,0.0
LN684,5735,6694,0.0
LN694,690,6697,0.0
LN694,6697,616,0.0
LN694,616,617,0.0
LN694,617,6383,0.0
LN694,6383,6387,0.0
LN696,6383,6387,0.0
LN700,1479,1478,0.0
LN700,1478,7423,0.0
LN702,617,10390,0.0
LN702,10390,615,0.0
LN702,615,363,0.0
LN702,363,5876,0.0
LN702,5876,5872,0.0
LN706,10390,10391,0.0
LN706,10391,3551,0.0
LN706,3551,11061,0.0
LN706,11061,6488,0.0
LN708,10391,615,0.0
LN736,1980,6550,0.0
LN736,6550,3900,0.0
LN736,3900,3894,0.0
LN736,3894,3895,0.0
LN736,3895,3901,0.0
LN736,3901,3896,0.0
LN736,3896,4000,0.0
LN736,4000,4219,0.0
LN736,4219,7991,0.0
LN736,7991,4056,0.0
LN736,4056,4055,0.0
LN736,4055,775,0.0
LN736,775,941,0.0
LN736,941,10317,0.0
LN736,10317,1124,0.0
LN736,1124,5247,0.0
