Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
182,4,"[((-1.4182855, 53.2463479), (-1.4182841, 53.2459466)), ((-1.4182916, 53.2457214), (-1.4182841, 53.2459466)), ((-1.4189996, 53.2410704), (-1.4182916, 53.2457214)), ((-1.4191523, 53.240448), (-1.4189996, 53.2410704))]",137,Gauge 6,5211,5209 (100.0%),2 (0.0%),0 (0.0%),0.15,2.0
182,4,"[((-1.4182855, 53.2463479), (-1.4182841, 53.2459466)), ((-1.4182916, 53.2457214), (-1.4182841, 53.2459466)), ((-1.4189996, 53.2410704), (-1.4182916, 53.2457214)), ((-1.4191523, 53.240448), (-1.4189996, 53.2410704))]",137,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
183,2,"[((-1.1400751, 53.5196964), (-1.1400633, 53.5200545)), ((-1.1400932, 53.5190842), (-1.1400751, 53.5196964))]",137,Gauge 6,5211,5111 (98.1%),100 (1.9%),0 (0.0%),0.13,0.8
183,2,"[((-1.1400751, 53.5196964), (-1.1400633, 53.5200545)), ((-1.1400932, 53.5190842), (-1.1400751, 53.5196964))]",137,Gauge 10,864,850 (98.4%),14 (1.6%),0 (0.0%),0.12,1.0
184,1,"[((-2.4342018, 53.0917939), (-2.43391, 53.091162))]",137,Gauge 6,5211,5199 (99.8%),12 (0.2%),0 (0.0%),0.48,4.7
184,1,"[((-2.4342018, 53.0917939), (-2.43391, 53.091162))]",137,Gauge 10,864,860 (99.5%),4 (0.5%),0 (0.0%),0.36,14.0
185,11,"[((-1.4214711, 53.2302871), (-1.4214499, 53.2305036)), ((-1.4216228, 53.2280005), (-1.4214711, 53.2302871)), ((-1.4214499, 53.2305036), (-1.4214412, 53.2305644)), ((-1.4216228, 53.2280005), (-1.4216201, 53.2278159)), ((-1.4214412, 53.2305644), (-1.4214083, 53.2308326)), ((-1.4216201, 53.2278159), (-1.4215915, 53.2264489)), ((-1.4214083, 53.2308326), (-1.4207779, 53.2339306)), ((-1.4207779, 53.2339306), (-1.4207373, 53.2340781)), ((-1.4207373, 53.2340781), (-1.4196413, 53.23848)), ((-1.4196413, 53.23848), (-1.419556, 53.2388458)), ((-1.419556, 53.2388458), (-1.4191523, 53.240448))]",135,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
185,11,"[((-1.4214711, 53.2302871), (-1.4214499, 53.2305036)), ((-1.4216228, 53.2280005), (-1.4214711, 53.2302871)), ((-1.4214499, 53.2305036), (-1.4214412, 53.2305644)), ((-1.4216228, 53.2280005), (-1.4216201, 53.2278159)), ((-1.4214412, 53.2305644), (-1.4214083, 53.2308326)), ((-1.4216201, 53.2278159), (-1.4215915, 53.2264489)), ((-1.4214083, 53.2308326), (-1.4207779, 53.2339306)), ((-1.4207779, 53.2339306), (-1.4207373, 53.2340781)), ((-1.4207373, 53.2340781), (-1.4196413, 53.23848)), ((-1.4196413, 53.23848), (-1.419556, 53.2388458)), ((-1.419556, 53.2388458), (-1.4191523, 53.240448))]",135,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
186,2,"[((-1.8763937, 52.4814998), (-1.8754384, 52.48149)), ((-1.8769827, 52.4815147), (-1.8763937, 52.4814998))]",135,Gauge 6,5211,5130 (98.4%),81 (1.6%),0 (0.0%),0.07,1.7
186,2,"[((-1.8763937, 52.4814998), (-1.8754384, 52.48149)), ((-1.8769827, 52.4815147), (-1.8763937, 52.4814998))]",135,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
187,1,"[((-1.0084434, 53.5945314), (-0.9945357, 53.5997774))]",135,Gauge 6,5211,5181 (99.4%),30 (0.6%),0 (0.0%),0.07,1.0
187,1,"[((-1.0084434, 53.5945314), (-0.9945357, 53.5997774))]",135,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
188,1,"[((-3.6628247, 55.6888076), (-3.6602424, 55.6872729))]",135,Gauge 6,5211,5076 (97.4%),135 (2.6%),0 (0.0%),0.19,1.7
188,1,"[((-3.6628247, 55.6888076), (-3.6602424, 55.6872729))]",135,Gauge 10,864,758 (87.7%),106 (12.3%),0 (0.0%),0.19,1.7
189,2,"[((-1.4183418, 53.2470714), (-1.4182855, 53.2463479)), ((-1.4184215, 53.24745), (-1.4183418, 53.2470714))]",135,Gauge 6,5211,5152 (98.9%),59 (1.1%),0 (0.0%),0.04,2.0
189,2,"[((-1.4183418, 53.2470714), (-1.4182855, 53.2463479)), ((-1.4184215, 53.24745), (-1.4183418, 53.2470714))]",135,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
190,25,"[((-3.8497441, 55.7315534), (-3.8494265, 55.7313951)), ((-3.8619758, 55.7446491), (-3.8497441, 55.7315534)), ((-3.8494265, 55.7313951), (-3.8476053, 55.7303766)), ((-3.8623766, 55.7454134), (-3.8619758, 55.7446491)), ((-3.8476053, 55.7303766), (-3.846956, 55.7299723)), ((-3.8626937, 55.7460281), (-3.8623766, 55.7454134)), ((-3.846956, 55.7299723), (-3.8449596, 55.728423)), ((-3.8737241, 55.7552003), (-3.8626937, 55.7460281)), ((-3.8449596, 55.728423), (-3.8448205, 55.7283026)), ((-3.8782783, 55.7566269), (-3.8737241, 55.7552003)), ((-3.8448205, 55.7283026), (-3.8387596, 55.7210498)), ((-3.8387596, 55.7210498), (-3.8383473, 55.7206499)), ((-3.8383473, 55.7206499), (-3.8323933, 55.7148131)), ((-3.8323933, 55.7148131), (-3.8317799, 55.714189)), ((-3.8317799, 55.714189), (-3.8285085, 55.7109897)), ((-3.8285085, 55.7109897), (-3.8277564, 55.7103052)), ((-3.8277564, 55.7103052), (-3.77558, 55.7009357)), ((-3.77558, 55.7009357), (-3.7367476, 55.6915787)), ((-3.7367476, 55.6915787), (-3.7326915, 55.6906356)), ((-3.7326915, 55.6906356), (-3.7317079, 55.6904078)), ((-3.7317079, 55.6904078), (-3.6913025, 55.6919501)), ((-3.6913025, 55.6919501), (-3.6908623, 55.6919962)), ((-3.6908623, 55.6919962), (-3.6881858, 55.692268)), ((-3.6881858, 55.692268), (-3.6874787, 55.6923419)), ((-3.6874787, 55.6923419), (-3.6821947, 55.6927639))]",133,Gauge 6,5211,5075 (97.4%),136 (2.6%),0 (0.0%),7.67,21.7
190,25,"[((-3.8497441, 55.7315534), (-3.8494265, 55.7313951)), ((-3.8619758, 55.7446491), (-3.8497441, 55.7315534)), ((-3.8494265, 55.7313951), (-3.8476053, 55.7303766)), ((-3.8623766, 55.7454134), (-3.8619758, 55.7446491)), ((-3.8476053, 55.7303766), (-3.846956, 55.7299723)), ((-3.8626937, 55.7460281), (-3.8623766, 55.7454134)), ((-3.846956, 55.7299723), (-3.8449596, 55.728423)), ((-3.8737241, 55.7552003), (-3.8626937, 55.7460281)), ((-3.8449596, 55.728423), (-3.8448205, 55.7283026)), ((-3.8782783, 55.7566269), (-3.8737241, 55.7552003)), ((-3.8448205, 55.7283026), (-3.8387596, 55.7210498)), ((-3.8387596, 55.7210498), (-3.8383473, 55.7206499)), ((-3.8383473, 55.7206499), (-3.8323933, 55.7148131)), ((-3.8323933, 55.7148131), (-3.8317799, 55.714189)), ((-3.8317799, 55.714189), (-3.8285085, 55.7109897)), ((-3.8285085, 55.7109897), (-3.8277564, 55.7103052)), ((-3.8277564, 55.7103052), (-3.77558, 55.7009357)), ((-3.77558, 55.7009357), (-3.7367476, 55.6915787)), ((-3.7367476, 55.6915787), (-3.7326915, 55.6906356)), ((-3.7326915, 55.6906356), (-3.7317079, 55.6904078)), ((-3.7317079, 55.6904078), (-3.6913025, 55.6919501)), ((-3.6913025, 55.6919501), (-3.6908623, 55.6919962)), ((-3.6908623, 55.6919962), (-3.6881858, 55.692268)), ((-3.6881858, 55.692268), (-3.6874787, 55.6923419)), ((-3.6874787, 55.6923419), (-3.6821947, 55.6927639))]",133,Gauge 10,864,758 (87.7%),106 (12.3%),0 (0.0%),7.74,21.9
191,6,"[((0.3613766, 51.44053), (0.3623021, 51.4407826)), ((0.3462978, 51.437466), (0.3613766, 51.44053)), ((0.3458239, 51.4374441), (0.3462978, 51.437466)), ((0.3363077, 51.4387398), (0.3458239, 51.4374441)), ((0.3361964, 51.4387738), (0.3363077, 51.4387398)), ((0.3317701, 51.4407321), (0.3361964, 51.4387738))]",133,Gauge 6,5211,5092 (97.7%),119 (2.3%),0 (0.0%),0.02,1.3
191,6,"[((0.3613766, 51.44053), (0.3623021, 51.4407826)), ((0.3462978, 51.437466), (0.3613766, 51.44053)), ((0.3458239, 51.4374441), (0.3462978, 51.437466)), ((0.3363077, 51.4387398), (0.3458239, 51.4374441)), ((0.3361964, 51.4387738), (0.3363077, 51.4387398)), ((0.3317701, 51.4407321), (0.3361964, 51.4387738))]",133,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
192,21,"[((-0.0238768, 51.523256), (-0.0229783, 51.5239182)), ((-0.0229783, 51.5239182), (-0.0200319, 51.5245604)), ((-0.0238768, 51.523256), (-0.0228731, 51.5246047)), ((-0.0200319, 51.5245604), (-0.0146974, 51.5244424)), ((-0.0229222, 51.5279706), (-0.0228731, 51.5246047)), ((-0.0146974, 51.5244424), (-0.0133528, 51.524488)), ((-0.0229222, 51.5279706), (-0.0217626, 51.5303045)), ((-0.0133528, 51.524488), (-0.0081273, 51.5252647)), ((-0.0217626, 51.5303045), (-0.0216177, 51.5304185)), ((-0.0081273, 51.5252647), (-0.0065114, 51.5256359)), ((-0.0216177, 51.5304185), (-0.0209187, 51.5308465)), ((-0.0065114, 51.5256359), (0.0040741, 51.528151)), ((-0.0209187, 51.5308465), (-0.0202668, 51.5311109)), ((0.0040741, 51.528151), (0.0049053, 51.5283439)), ((0.0049053, 51.5283439), (0.0102549, 51.5295685)), ((0.0102549, 51.5295685), (0.0465321, 51.5379054)), ((0.0465321, 51.5379054), (0.0478567, 51.5381914)), ((0.0478567, 51.5381914), (0.055918, 51.5404382)), ((0.055918, 51.5404382), (0.068949, 51.5438311)), ((0.068949, 51.5438311), (0.0696348, 51.5436757)), ((0.0696348, 51.5436757), (0.0696967, 51.5436625))]",133,Gauge 6,5211,5054 (97.0%),157 (3.0%),0 (0.0%),2.44,1.8
192,21,"[((-0.0238768, 51.523256), (-0.0229783, 51.5239182)), ((-0.0229783, 51.5239182), (-0.0200319, 51.5245604)), ((-0.0238768, 51.523256), (-0.0228731, 51.5246047)), ((-0.0200319, 51.5245604), (-0.0146974, 51.5244424)), ((-0.0229222, 51.5279706), (-0.0228731, 51.5246047)), ((-0.0146974, 51.5244424), (-0.0133528, 51.524488)), ((-0.0229222, 51.5279706), (-0.0217626, 51.5303045)), ((-0.0133528, 51.524488), (-0.0081273, 51.5252647)), ((-0.0217626, 51.5303045), (-0.0216177, 51.5304185)), ((-0.0081273, 51.5252647), (-0.0065114, 51.5256359)), ((-0.0216177, 51.5304185), (-0.0209187, 51.5308465)), ((-0.0065114, 51.5256359), (0.0040741, 51.528151)), ((-0.0209187, 51.5308465), (-0.0202668, 51.5311109)), ((0.0040741, 51.528151), (0.0049053, 51.5283439)), ((0.0049053, 51.5283439), (0.0102549, 51.5295685)), ((0.0102549, 51.5295685), (0.0465321, 51.5379054)), ((0.0465321, 51.5379054), (0.0478567, 51.5381914)), ((0.0478567, 51.5381914), (0.055918, 51.5404382)), ((0.055918, 51.5404382), (0.068949, 51.5438311)), ((0.068949, 51.5438311), (0.0696348, 51.5436757)), ((0.0696348, 51.5436757), (0.0696967, 51.5436625))]",133,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
193,1,"[((-0.993916, 53.6000097), (-0.9802701, 53.6028019))]",133,Gauge 6,5211,5181 (99.4%),30 (0.6%),0 (0.0%),0.01,1.2
193,1,"[((-0.993916, 53.6000097), (-0.9802701, 53.6028019))]",133,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
194,13,"[((-1.3054492, 52.3951513), (-1.3053674, 52.3950966)), ((-1.3053674, 52.3950966), (-1.3009202, 52.3921208)), ((-1.3120628, 52.3995836), (-1.3054492, 52.3951513)), ((-1.3009202, 52.3921208), (-1.3007215, 52.3919878)), ((-1.3123588, 52.3997811), (-1.3120628, 52.3995836)), ((-1.3007215, 52.3919878), (-1.2991484, 52.3909391)), ((-1.3494324, 52.4213745), (-1.3123588, 52.3997811)), ((-1.2991484, 52.3909391), (-1.2990122, 52.3908507)), ((-1.2990122, 52.3908507), (-1.2917238, 52.3869775)), ((-1.2917238, 52.3869775), (-1.2915997, 52.3869183)), ((-1.2915997, 52.3869183), (-1.2850205, 52.3837418)), ((-1.2850205, 52.3837418), (-1.28446, 52.3834755)), ((-1.28446, 52.3834755), (-1.2693609, 52.3805505))]",132,Gauge 6,5211,5077 (97.4%),134 (2.6%),0 (0.0%),1.04,4.6
194,13,"[((-1.3054492, 52.3951513), (-1.3053674, 52.3950966)), ((-1.3053674, 52.3950966), (-1.3009202, 52.3921208)), ((-1.3120628, 52.3995836), (-1.3054492, 52.3951513)), ((-1.3009202, 52.3921208), (-1.3007215, 52.3919878)), ((-1.3123588, 52.3997811), (-1.3120628, 52.3995836)), ((-1.3007215, 52.3919878), (-1.2991484, 52.3909391)), ((-1.3494324, 52.4213745), (-1.3123588, 52.3997811)), ((-1.2991484, 52.3909391), (-1.2990122, 52.3908507)), ((-1.2990122, 52.3908507), (-1.2917238, 52.3869775)), ((-1.2917238, 52.3869775), (-1.2915997, 52.3869183)), ((-1.2915997, 52.3869183), (-1.2850205, 52.3837418)), ((-1.2850205, 52.3837418), (-1.28446, 52.3834755)), ((-1.28446, 52.3834755), (-1.2693609, 52.3805505))]",132,Gauge 10,864,771 (89.2%),93 (10.8%),0 (0.0%),0.85,4.2
195,34,"[((-0.0971865, 51.5201313), (-0.087972, 51.5177539)), ((-0.087972, 51.5177539), (-0.0823243, 51.5166519)), ((-0.1060184, 51.5192889), (-0.0971865, 51.5201313)), ((-0.0823243, 51.5166519), (-0.0796091, 51.5172355)), ((-0.1091405, 51.5193274), (-0.1060184, 51.5192889)), ((-0.0796091, 51.5172355), (-0.0781681, 51.51789)), ((-0.1120478, 51.5197435), (-0.1091405, 51.5193274)), ((-0.0781681, 51.51789), (-0.0678376, 51.5199035)), ((-0.1174164, 51.5193143), (-0.1120478, 51.5197435)), ((-0.0678376, 51.5199035), (-0.0644526, 51.5198795)), ((-0.1191293, 51.5185573), (-0.1174164, 51.5193143)), ((-0.0644526, 51.5198795), (-0.0605791, 51.5199679)), ((-0.0605791, 51.5199679), (-0.0563231, 51.5201369)), ((-0.0563231, 51.5201369), (-0.0530533, 51.51999)), ((-0.0530533, 51.51999), (-0.0499768, 51.5192276)), ((-0.0499768, 51.5192276), (-0.0448162, 51.5172795)), ((-0.0448162, 51.5172795), (-0.0128018, 51.5345794)), ((-0.0128018, 51.5345794), (-0.0125133, 51.5347475)), ((-0.0125133, 51.5347475), (-0.012226, 51.5349318)), ((-0.012226, 51.5349318), (-0.0120323, 51.5350616)), ((-0.0120323, 51.5350616), (-0.0115408, 51.5354026)), ((-0.0115408, 51.5354026), (-0.0111611, 51.5356648)), ((-0.0115231, 51.5353935), (-0.0111611, 51.5356648)), ((-0.0119822, 51.5350509), (-0.0115231, 51.5353935)), ((-0.0124527, 51.5347149), (-0.0119822, 51.5350509)), ((-0.0126394, 51.5345904), (-0.0124527, 51.5347149)), ((-0.0127573, 51.5345168), (-0.0126394, 51.5345904)), ((-0.0176569, 51.5322915), (-0.0127573, 51.5345168)), ((-0.0181366, 51.5320454), (-0.0176569, 51.5322915)), ((-0.0184599, 51.5318843), (-0.0181366, 51.5320454)), ((-0.0189162, 51.5316673), (-0.0184599, 51.5318843)), ((-0.0190701, 51.5315987), (-0.0189162, 51.5316673)), ((-0.0195164, 51.5314086), (-0.0190701, 51.5315987)), ((-0.0202668, 51.5311109), (-0.0195164, 51.5314086))]",132,Gauge 6,5211,5055 (97.0%),156 (3.0%),0 (0.0%),2.43,1.8
195,34,"[((-0.0971865, 51.5201313), (-0.087972, 51.5177539)), ((-0.087972, 51.5177539), (-0.0823243, 51.5166519)), ((-0.1060184, 51.5192889), (-0.0971865, 51.5201313)), ((-0.0823243, 51.5166519), (-0.0796091, 51.5172355)), ((-0.1091405, 51.5193274), (-0.1060184, 51.5192889)), ((-0.0796091, 51.5172355), (-0.0781681, 51.51789)), ((-0.1120478, 51.5197435), (-0.1091405, 51.5193274)), ((-0.0781681, 51.51789), (-0.0678376, 51.5199035)), ((-0.1174164, 51.5193143), (-0.1120478, 51.5197435)), ((-0.0678376, 51.5199035), (-0.0644526, 51.5198795)), ((-0.1191293, 51.5185573), (-0.1174164, 51.5193143)), ((-0.0644526, 51.5198795), (-0.0605791, 51.5199679)), ((-0.0605791, 51.5199679), (-0.0563231, 51.5201369)), ((-0.0563231, 51.5201369), (-0.0530533, 51.51999)), ((-0.0530533, 51.51999), (-0.0499768, 51.5192276)), ((-0.0499768, 51.5192276), (-0.0448162, 51.5172795)), ((-0.0448162, 51.5172795), (-0.0128018, 51.5345794)), ((-0.0128018, 51.5345794), (-0.0125133, 51.5347475)), ((-0.0125133, 51.5347475), (-0.012226, 51.5349318)), ((-0.012226, 51.5349318), (-0.0120323, 51.5350616)), ((-0.0120323, 51.5350616), (-0.0115408, 51.5354026)), ((-0.0115408, 51.5354026), (-0.0111611, 51.5356648)), ((-0.0115231, 51.5353935), (-0.0111611, 51.5356648)), ((-0.0119822, 51.5350509), (-0.0115231, 51.5353935)), ((-0.0124527, 51.5347149), (-0.0119822, 51.5350509)), ((-0.0126394, 51.5345904), (-0.0124527, 51.5347149)), ((-0.0127573, 51.5345168), (-0.0126394, 51.5345904)), ((-0.0176569, 51.5322915), (-0.0127573, 51.5345168)), ((-0.0181366, 51.5320454), (-0.0176569, 51.5322915)), ((-0.0184599, 51.5318843), (-0.0181366, 51.5320454)), ((-0.0189162, 51.5316673), (-0.0184599, 51.5318843)), ((-0.0190701, 51.5315987), (-0.0189162, 51.5316673)), ((-0.0195164, 51.5314086), (-0.0190701, 51.5315987)), ((-0.0202668, 51.5311109), (-0.0195164, 51.5314086))]",132,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
196,2,"[((-2.6400323, 53.4506367), (-2.6389134, 53.450932)), ((-2.6400323, 53.4506367), (-2.6347852, 53.4498411))]",132,Gauge 6,5211,5079 (97.5%),0 (0.0%),132 (2.5%),0,0
196,2,"[((-2.6400323, 53.4506367), (-2.6389134, 53.450932)), ((-2.6400323, 53.4506367), (-2.6347852, 53.4498411))]",132,Gauge 10,864,840 (97.2%),0 (0.0%),24 (2.8%),0,0
197,14,"[((-1.1241361, 53.7519598), (-1.089064, 53.718337)), ((-1.089064, 53.718337), (-1.0890587, 53.7181807)), ((-1.1246899, 53.7523358), (-1.1241361, 53.7519598)), ((-1.089166, 53.7159029), (-1.0890587, 53.7181807)), ((-1.1613878, 53.7834251), (-1.1246899, 53.7523358)), ((-1.0892591, 53.7152313), (-1.089166, 53.7159029)), ((-1.161515, 53.7835426), (-1.1613878, 53.7834251)), ((-1.089862, 53.7126806), (-1.0892591, 53.7152313)), ((-1.1686037, 53.8046333), (-1.161515, 53.7835426)), ((-1.0902706, 53.7113143), (-1.089862, 53.7126806)), ((-1.1686037, 53.8046333), (-1.1685998, 53.8047842)), ((-1.1769846, 53.8560534), (-1.1685998, 53.8047842)), ((-1.1771235, 53.8563039), (-1.1769846, 53.8560534)), ((-1.1771235, 53.8563039), (-1.1661529, 53.8918675))]",132,Gauge 6,5211,5123 (98.3%),88 (1.7%),0 (0.0%),0.68,1.2
197,14,"[((-1.1241361, 53.7519598), (-1.089064, 53.718337)), ((-1.089064, 53.718337), (-1.0890587, 53.7181807)), ((-1.1246899, 53.7523358), (-1.1241361, 53.7519598)), ((-1.089166, 53.7159029), (-1.0890587, 53.7181807)), ((-1.1613878, 53.7834251), (-1.1246899, 53.7523358)), ((-1.0892591, 53.7152313), (-1.089166, 53.7159029)), ((-1.161515, 53.7835426), (-1.1613878, 53.7834251)), ((-1.089862, 53.7126806), (-1.0892591, 53.7152313)), ((-1.1686037, 53.8046333), (-1.161515, 53.7835426)), ((-1.0902706, 53.7113143), (-1.089862, 53.7126806)), ((-1.1686037, 53.8046333), (-1.1685998, 53.8047842)), ((-1.1769846, 53.8560534), (-1.1685998, 53.8047842)), ((-1.1771235, 53.8563039), (-1.1769846, 53.8560534)), ((-1.1771235, 53.8563039), (-1.1661529, 53.8918675))]",132,Gauge 10,864,841 (97.3%),23 (2.7%),0 (0.0%),0.02,1.8
198,1,"[((-2.4351515, 53.0936651), (-2.4342018, 53.0917939))]",132,Gauge 6,5211,4909 (94.2%),302 (5.8%),0 (0.0%),0.00,1.1
198,1,"[((-2.4351515, 53.0936651), (-2.4342018, 53.0917939))]",132,Gauge 10,864,764 (88.4%),100 (11.6%),0 (0.0%),0.01,1.1
199,17,"[((-1.5233265, 53.3208463), (-1.5230074, 53.3209425)), ((-1.5230074, 53.3209425), (-1.5183574, 53.323605)), ((-1.5238247, 53.320696), (-1.5233265, 53.3208463)), ((-1.5183574, 53.323605), (-1.5153296, 53.3267909)), ((-1.5322072, 53.3185716), (-1.5238247, 53.320696)), ((-1.5153296, 53.3267909), (-1.5153152, 53.3269764)), ((-1.5409318, 53.3172923), (-1.5322072, 53.3185716)), ((-1.5153152, 53.3269764), (-1.5134468, 53.3318391)), ((-1.6241076, 53.3056192), (-1.5409318, 53.3172923)), ((-1.5134468, 53.3318391), (-1.511907, 53.3330033)), ((-1.6423232, 53.3177927), (-1.6241076, 53.3056192)), ((-1.511907, 53.3330033), (-1.5117286, 53.3331338)), ((-1.6424066, 53.3185787), (-1.6423232, 53.3177927)), ((-1.5117286, 53.3331338), (-1.5096163, 53.3345964)), ((-1.6424107, 53.3187047), (-1.6424066, 53.3185787)), ((-1.648587, 53.3245596), (-1.6424107, 53.3187047)), ((-1.6524092, 53.3260599), (-1.648587, 53.3245596))]",131,Gauge 6,5211,5084 (97.6%),127 (2.4%),0 (0.0%),11.88,29.9
199,17,"[((-1.5233265, 53.3208463), (-1.5230074, 53.3209425)), ((-1.5230074, 53.3209425), (-1.5183574, 53.323605)), ((-1.5238247, 53.320696), (-1.5233265, 53.3208463)), ((-1.5183574, 53.323605), (-1.5153296, 53.3267909)), ((-1.5322072, 53.3185716), (-1.5238247, 53.320696)), ((-1.5153296, 53.3267909), (-1.5153152, 53.3269764)), ((-1.5409318, 53.3172923), (-1.5322072, 53.3185716)), ((-1.5153152, 53.3269764), (-1.5134468, 53.3318391)), ((-1.6241076, 53.3056192), (-1.5409318, 53.3172923)), ((-1.5134468, 53.3318391), (-1.511907, 53.3330033)), ((-1.6423232, 53.3177927), (-1.6241076, 53.3056192)), ((-1.511907, 53.3330033), (-1.5117286, 53.3331338)), ((-1.6424066, 53.3185787), (-1.6423232, 53.3177927)), ((-1.5117286, 53.3331338), (-1.5096163, 53.3345964)), ((-1.6424107, 53.3187047), (-1.6424066, 53.3185787)), ((-1.648587, 53.3245596), (-1.6424107, 53.3187047)), ((-1.6524092, 53.3260599), (-1.648587, 53.3245596))]",131,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
200,23,"[((-0.1817077, 51.5185312), (-0.1800269, 51.5176161)), ((-0.1835796, 51.5189555), (-0.1817077, 51.5185312)), ((-0.1800269, 51.5176161), (-0.1788127, 51.51681)), ((-0.1901427, 51.5194107), (-0.1835796, 51.5189555)), ((-0.1788127, 51.51681), (-0.1766828, 51.5153515)), ((-0.1923577, 51.5196226), (-0.1901427, 51.5194107)), ((-0.1766828, 51.5153515), (-0.1744544, 51.5138191)), ((-0.2001238, 51.521057), (-0.1923577, 51.5196226)), ((-0.1744544, 51.5138191), (-0.1702946, 51.5117627)), ((-0.2014576, 51.521411), (-0.2001238, 51.521057)), ((-0.1702946, 51.5117627), (-0.1553145, 51.5122284)), ((-0.2025708, 51.5216837), (-0.2014576, 51.521411)), ((-0.1553145, 51.5122284), (-0.1519735, 51.512762)), ((-0.2028292, 51.5217555), (-0.2025708, 51.5216837)), ((-0.1519735, 51.512762), (-0.1497194, 51.5130997)), ((-0.2039055, 51.5220551), (-0.2028292, 51.5217555)), ((-0.1497194, 51.5130997), (-0.1439285, 51.5136005)), ((-0.1439285, 51.5136005), (-0.1403102, 51.5139447)), ((-0.1403102, 51.5139447), (-0.1360267, 51.5148807)), ((-0.1360267, 51.5148807), (-0.1327841, 51.5150177)), ((-0.1327841, 51.5150177), (-0.1284999, 51.5147971)), ((-0.1284999, 51.5147971), (-0.1209583, 51.5175344)), ((-0.1209583, 51.5175344), (-0.1191293, 51.5185573))]",131,Gauge 6,5211,5056 (97.0%),155 (3.0%),0 (0.0%),0.13,0.9
200,23,"[((-0.1817077, 51.5185312), (-0.1800269, 51.5176161)), ((-0.1835796, 51.5189555), (-0.1817077, 51.5185312)), ((-0.1800269, 51.5176161), (-0.1788127, 51.51681)), ((-0.1901427, 51.5194107), (-0.1835796, 51.5189555)), ((-0.1788127, 51.51681), (-0.1766828, 51.5153515)), ((-0.1923577, 51.5196226), (-0.1901427, 51.5194107)), ((-0.1766828, 51.5153515), (-0.1744544, 51.5138191)), ((-0.2001238, 51.521057), (-0.1923577, 51.5196226)), ((-0.1744544, 51.5138191), (-0.1702946, 51.5117627)), ((-0.2014576, 51.521411), (-0.2001238, 51.521057)), ((-0.1702946, 51.5117627), (-0.1553145, 51.5122284)), ((-0.2025708, 51.5216837), (-0.2014576, 51.521411)), ((-0.1553145, 51.5122284), (-0.1519735, 51.512762)), ((-0.2028292, 51.5217555), (-0.2025708, 51.5216837)), ((-0.1519735, 51.512762), (-0.1497194, 51.5130997)), ((-0.2039055, 51.5220551), (-0.2028292, 51.5217555)), ((-0.1497194, 51.5130997), (-0.1439285, 51.5136005)), ((-0.1439285, 51.5136005), (-0.1403102, 51.5139447)), ((-0.1403102, 51.5139447), (-0.1360267, 51.5148807)), ((-0.1360267, 51.5148807), (-0.1327841, 51.5150177)), ((-0.1327841, 51.5150177), (-0.1284999, 51.5147971)), ((-0.1284999, 51.5147971), (-0.1209583, 51.5175344)), ((-0.1209583, 51.5175344), (-0.1191293, 51.5185573))]",131,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
